id_siniestro,id_poliza,id_asegurado,ramo,cobertura,monto_reclamado,score_riesgo,semaforo,prob_fraude_ml,pred_fraude_ml,nivel_riesgo_ml,etiqueta_fraude_simulada
SIN-0001,POL-0101,ASE-0055,Vehículos,Volcadura,3060.95,31,Verde,0.08532270725739144,0,Bajo,0
SIN-0002,POL-0166,ASE-0102,Hogar,Daño por Agua,5606.6,46,Amarillo,0.211919293329453,0,Bajo,0
SIN-0003,POL-0107,ASE-0131,Vehículos,Robo,35393.67,58,Amarillo,0.47592984472050476,0,Medio,0
SIN-0004,POL-0209,ASE-0142,Vehículos,Volcadura,11202.97,25,Verde,0.06477048364985279,0,Bajo,0
SIN-0005,POL-0001,ASE-0033,Vehículos,Responsabilidad Civil,5522.43,11,Verde,0.10191326259152103,0,Bajo,0
SIN-0006,POL-0240,ASE-0119,Vehículos,Robo,26479.84,100,Rojo,0.9403158782752736,1,Alto,1
SIN-0007,POL-0279,ASE-0229,Vehículos,Robo,24377.01,42,Amarillo,0.2731699952920536,0,Bajo,0
SIN-0008,POL-0285,ASE-0038,Vehículos,Robo,15661.18,25,Verde,0.1284376412171,0,Bajo,0
SIN-0009,POL-0234,ASE-0152,Generales,Responsabilidad Civil,7765.89,91,Rojo,0.6949317136859189,1,Alto,1
SIN-0010,POL-0136,ASE-0016,Vehículos,Choque,5158.77,76,Rojo,0.7988459365373483,1,Alto,1
SIN-0011,POL-0071,ASE-0016,Vehículos,Robo,23122.64,99,Rojo,0.9864569147676111,1,Alto,1
SIN-0012,POL-0295,ASE-0190,Vehículos,Pérdida Total,18411.53,23,Verde,0.055260220862879794,0,Bajo,0
SIN-0013,POL-0211,ASE-0204,Vehículos,Robo,27379.67,47,Amarillo,0.30904645394902963,0,Medio,0
SIN-0014,POL-0255,ASE-0128,Vehículos,Daño Parcial,3974.79,19,Verde,0.05432756507792815,0,Bajo,0
SIN-0015,POL-0289,ASE-0087,Salud,Emergencia,468.83,16,Verde,0.0873967299761428,0,Bajo,0
SIN-0016,POL-0126,ASE-0227,Hogar,Daño por Agua,3876.32,26,Verde,0.08198947389884052,0,Bajo,0
SIN-0017,POL-0239,ASE-0063,Vehículos,Robo,15948.91,26,Verde,0.22057018312299603,0,Bajo,0
SIN-0018,POL-0299,ASE-0139,Vehículos,Responsabilidad Civil,19595.3,85,Rojo,0.9079292007395331,1,Alto,1
SIN-0019,POL-0217,ASE-0220,Vehículos,Responsabilidad Civil,14019.77,97,Rojo,0.9436593721735608,1,Alto,1
SIN-0020,POL-0181,ASE-0029,Hogar,Robo Contenido,4058.97,18,Verde,0.1173928962852346,0,Bajo,0
SIN-0021,POL-0164,ASE-0079,Vehículos,Daño Parcial,3077.57,71,Amarillo,0.43601367294952814,0,Medio,0
SIN-0022,POL-0078,ASE-0127,Hogar,Terremoto,23280.16,56,Amarillo,0.4658621511266637,0,Medio,0
SIN-0023,POL-0166,ASE-0102,Generales,Incendio Comercial,5924.51,15,Verde,0.02888893607720465,0,Bajo,0
