id_asegurado,segmento,antiguedad_cliente_años,ciudad,num_polizas_activas,reclamos_ultimos_12m,mora_actual,score_cliente_simulado,es_perfil_riesgo
ASE-0001,Jurídico,4.1,Guayaquil,2,0,No,0.88,No
ASE-0002,Natural,6.6,Ambato,1,2,No,0.59,No
ASE-0003,Natural,3.4,Quito,5,2,No,0.56,No
ASE-0004,Jurídico,0.6,Quito,2,1,No,0.91,No
ASE-0005,Natural,11.6,Cuenca,1,0,No,0.65,No
ASE-0006,Jurídico,12.2,Quito,4,5,No,0.31,Sí
ASE-0007,Natural,4.8,Portoviejo,5,1,No,0.59,No
ASE-0008,Natural,1.2,Quito,2,0,No,0.87,No
ASE-0009,Natural,6.0,Guayaquil,4,0,No,0.94,No
ASE-0010,Natural,10.2,Guayaquil,1,1,No,0.71,No
ASE-0011,Natural,7.2,Cuenca,3,2,No,0.66,No
ASE-0012,Natural,5.2,Quito,1,2,No,0.65,No
ASE-0013,Natural,1.5,Guayaquil,5,5,No,0.24,Sí
ASE-0014,Natural,13.3,Quito,4,2,No,0.77,No
ASE-0015,Natural,6.7,Cuenca,5,5,No,0.36,Sí
ASE-0016,Natural,1.8,Cuenca,1,0,No,0.78,No
ASE-0017,Jurídico,6.6,Quito,1,0,No,0.91,No
ASE-0018,Jurídico,14.6,Esmeraldas,1,1,No,0.79,No
ASE-0019,Natural,5.4,Guayaquil,3,5,No,0.37,Sí
ASE-0020,Natural,4.3,Ambato,5,2,No,0.94,No
ASE-0021,Natural,4.8,Quito,5,0,No,0.94,No
ASE-0022,Jurídico,11.8,Quito,5,0,No,0.79,No
ASE-0023,Natural,14.0,Quito,3,1,No,0.56,No
ASE-0024,Natural,1.7,Guayaquil,4,2,No,0.98,No
ASE-0025,Natural,2.4,Guayaquil,4,2,No,0.89,No
ASE-0026,Natural,6.6,Esmeraldas,2,2,No,0.94,No
ASE-0027,Jurídico,5.0,Machala,3,2,No,0.64,No
ASE-0028,Jurídico,1.4,Cuenca,1,0,No,0.66,No
ASE-0029,Natural,10.8,Quito,1,0,No,0.55,No
ASE-0030,Natural,4.0,Quito,4,1,No,0.58,No
ASE-0031,Natural,7.4,Guayaquil,4,6,No,0.19,Sí
ASE-0032,Natural,6.5,Portoviejo,1,6,No,0.22,Sí
ASE-0033,Natural,11.1,Quito,1,0,No,0.58,No
ASE-0034,Jurídico,3.2,Quito,4,1,No,0.61,No
ASE-0035,Jurídico,12.9,Quito,1,1,Sí,0.91,No
ASE-0036,Natural,13.9,Loja,2,0,No,0.99,No
ASE-0037,Jurídico,13.6,Quito,2,0,No,0.94,No
ASE-0038,Natural,11.9,Ambato,3,1,No,0.97,No
ASE-0039,Natural,7.6,Loja,2,2,No,0.85,No
ASE-0040,Natural,1.4,Guayaquil,3,2,Sí,0.88,No
ASE-0041,Natural,8.2,Ibarra,1,2,No,0.96,No
ASE-0042,Natural,1.5,Guayaquil,2,4,No,0.12,Sí
ASE-0043,Natural,9.1,Guayaquil,5,2,No,0.66,No
ASE-0044,Natural,14.1,Ambato,2,2,No,0.79,No
ASE-0045,Natural,10.2,Riobamba,3,1,No,0.73,No
ASE-0046,Natural,9.5,Quito,5,0,No,0.55,No
ASE-0047,Natural,2.4,Loja,3,4,No,0.28,Sí
ASE-0048,Natural,6.9,Loja,5,1,No,0.68,No
ASE-0049,Natural,10.2,Guayaquil,5,2,No,0.79,No
ASE-0050,Natural,13.4,Quito,5,0,No,0.67,No
ASE-0051,Natural,3.5,Quito,3,0,No,0.87,No
ASE-0052,Natural,6.6,Guayaquil,3,0,Sí,0.59,No
ASE-0053,Natural,4.3,Riobamba,4,0,No,0.84,No
ASE-0054,Natural,14.2,Guayaquil,2,0,No,0.6,No
ASE-0055,Natural,6.7,Quito,1,2,No,0.8,No
ASE-0056,Natural,3.5,Quito,2,0,No,0.95,No
ASE-0057,Jurídico,6.4,Machala,5,2,No,0.95,No
ASE-0058,Jurídico,14.7,Cuenca,2,0,No,0.94,No
ASE-0059,Natural,6.5,Manta,2,5,No,0.37,Sí
ASE-0060,Natural,1.1,Riobamba,4,0,No,0.72,No
ASE-0061,Jurídico,12.4,Manta,2,1,No,0.71,No
ASE-0062,Natural,13.0,Guayaquil,3,1,No,0.7,No
ASE-0063,Natural,8.3,Quito,1,2,No,0.99,No
ASE-0064,Jurídico,14.8,Manta,1,0,No,0.81,No
ASE-0065,Natural,6.8,Quito,5,2,No,0.9,No
ASE-0066,Natural,10.8,Guayaquil,1,0,No,0.66,No
ASE-0067,Natural,11.3,Quito,2,2,No,0.87,No
ASE-0068,Natural,10.1,Santo Domingo,1,5,No,0.32,Sí
ASE-0069,Natural,5.2,Guayaquil,3,1,No,0.85,No
ASE-0070,Jurídico,10.3,Guayaquil,2,2,No,0.97,No
ASE-0071,Natural,4.9,Esmeraldas,2,2,No,0.93,No
ASE-0072,Natural,6.9,Guayaquil,2,2,No,0.7,No
ASE-0073,Natural,1.7,Quito,5,2,No,0.63,No
ASE-0074,Natural,11.4,Cuenca,3,0,No,0.92,No
ASE-0075,Natural,14.8,Quito,5,0,No,0.57,No
ASE-0076,Natural,8.8,Riobamba,4,6,No,0.41,Sí
ASE-0077,Natural,13.4,Quito,1,2,No,0.86,No
ASE-0078,Natural,1.2,Tulcán,2,2,No,0.78,No
ASE-0079,Natural,10.2,Cuenca,5,4,No,0.38,Sí
ASE-0080,Natural,10.9,Quito,5,1,No,0.83,No
ASE-0081,Natural,11.3,Guayaquil,4,1,No,0.95,No
ASE-0082,Natural,11.8,Cuenca,4,2,No,0.67,No
ASE-0083,Jurídico,3.9,Quito,3,0,No,0.87,No
ASE-0084,Natural,6.1,Guayaquil,2,0,No,0.62,No
ASE-0085,Natural,7.3,Quito,1,6,No,0.22,Sí
ASE-0086,Natural,0.8,Cuenca,5,2,No,0.98,No
ASE-0087,Natural,6.2,Guayaquil,4,5,No,0.2,Sí
ASE-0088,Natural,7.6,Cuenca,3,2,No,0.95,No
ASE-0089,Natural,12.1,Ambato,2,5,No,0.33,Sí
ASE-0090,Natural,13.7,Machala,5,2,No,0.79,No
ASE-0091,Natural,7.2,Guayaquil,1,6,No,0.15,Sí
ASE-0092,Jurídico,11.5,Machala,4,1,No,0.7,No
ASE-0093,Natural,1.7,Quito,1,1,No,0.66,No
ASE-0094,Natural,1.5,Manta,1,5,No,0.18,Sí
ASE-0095,Natural,9.5,Guayaquil,2,0,No,0.93,No
ASE-0096,Jurídico,7.2,Quito,3,2,No,0.98,No
ASE-0097,Natural,10.9,Riobamba,2,2,No,0.98,No
ASE-0098,Natural,8.8,Guayaquil,4,3,No,0.43,Sí
ASE-0099,Jurídico,12.5,Ambato,2,0,No,0.82,No
ASE-0100,Natural,2.3,Riobamba,5,2,No,0.82,No
ASE-0101,Natural,1.5,Cuenca,3,1,Sí,0.85,No
ASE-0102,Jurídico,14.4,Quito,4,1,No,0.6,No
ASE-0103,Natural,9.9,Cuenca,5,2,No,0.78,No
ASE-0104,Natural,12.5,Quito,5,1,No,0.76,No
ASE-0105,Natural,7.0,Quito,4,0,No,0.68,No
ASE-0106,Natural,12.8,Guayaquil,2,1,No,0.56,No
ASE-0107,Natural,13.3,Cuenca,3,1,No,0.7,No
ASE-0108,Natural,10.9,Ambato,4,0,No,0.59,No
ASE-0109,Natural,7.6,Guayaquil,1,1,No,0.84,No
ASE-0110,Jurídico,10.1,Cuenca,3,2,No,0.66,No
ASE-0111,Natural,8.5,Cuenca,3,1,No,1.0,No
ASE-0112,Natural,11.0,Quito,3,1,No,0.65,No
ASE-0113,Natural,3.6,Quito,4,2,No,0.63,No
ASE-0114,Natural,14.7,Latacunga,2,2,No,0.82,No
ASE-0115,Natural,8.2,Riobamba,3,1,Sí,0.56,No
ASE-0116,Natural,2.3,Manta,4,5,No,0.34,Sí
ASE-0117,Natural,6.9,Guayaquil,2,5,No,0.26,Sí
ASE-0118,Natural,1.4,Quito,4,1,Sí,0.6,No
ASE-0119,Natural,12.3,Quito,3,0,No,0.62,No
ASE-0120,Natural,9.3,Cuenca,5,2,No,0.89,No
ASE-0121,Jurídico,4.8,Santo Domingo,5,1,No,0.96,No
ASE-0122,Natural,14.4,Machala,1,2,No,0.58,No
ASE-0123,Jurídico,1.7,Quito,2,0,No,0.67,No
ASE-0124,Jurídico,10.5,Guayaquil,4,3,No,0.24,Sí
ASE-0125,Jurídico,13.0,Esmeraldas,1,2,No,0.68,No
ASE-0126,Natural,12.2,Quito,2,2,No,0.82,No
ASE-0127,Natural,4.4,Ibarra,2,2,Sí,0.62,No
ASE-0128,Natural,12.5,Quito,3,1,No,0.82,No
ASE-0129,Natural,14.2,Machala,5,1,No,0.86,No
ASE-0130,Natural,6.8,Guayaquil,3,2,No,0.57,No
ASE-0131,Jurídico,12.6,Cuenca,5,4,No,0.44,Sí
ASE-0132,Natural,11.6,Quito,2,5,No,0.3,Sí
ASE-0133,Natural,9.0,Ibarra,4,1,No,0.63,No
ASE-0134,Natural,10.2,Ambato,2,1,No,0.7,No
ASE-0135,Natural,6.3,Guayaquil,5,1,Sí,0.85,No
ASE-0136,Jurídico,14.6,Manta,4,5,No,0.21,Sí
ASE-0137,Jurídico,8.4,Ibarra,4,0,Sí,0.85,No
ASE-0138,Natural,9.6,Guayaquil,1,2,No,0.89,No
ASE-0139,Natural,10.6,Manta,1,1,Sí,0.75,No
ASE-0140,Natural,5.0,Ambato,1,0,No,0.87,No
ASE-0141,Natural,2.2,Riobamba,2,3,No,0.26,Sí
ASE-0142,Natural,6.5,Guayaquil,4,2,No,0.87,No
ASE-0143,Natural,3.3,Guayaquil,5,2,No,0.62,No
ASE-0144,Natural,12.0,Guayaquil,4,0,No,0.67,No
ASE-0145,Natural,4.6,Quito,3,1,No,0.92,No
ASE-0146,Natural,2.7,Quito,5,2,No,0.77,No
ASE-0147,Natural,14.0,Portoviejo,2,2,No,0.72,No
ASE-0148,Natural,11.7,Quito,1,1,No,0.66,No
ASE-0149,Natural,10.1,Loja,2,1,No,0.72,No
ASE-0150,Natural,13.2,Cuenca,4,5,No,0.4,Sí
ASE-0151,Natural,6.4,Quito,2,0,Sí,0.88,No
ASE-0152,Natural,10.5,Guayaquil,1,1,No,0.7,No
ASE-0153,Jurídico,5.1,Ambato,4,2,No,0.72,No
