id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC-00001,SIN-0001,Informe Perito,Sí,Sí,2023-02-25,No,
DOC-00002,SIN-0001,Copia Licencia,Sí,Sí,2023-02-20,No,
DOC-00003,SIN-0002,Acta Policial,Sí,Sí,2021-10-05,No,
DOC-00004,SIN-0002,Fotos Daño,Sí,Sí,2021-10-01,No,
DOC-00005,SIN-0002,Factura Reparación,Sí,Sí,2021-10-04,No,
DOC-00006,SIN-0003,Copia Matrícula,Sí,Sí,2024-03-28,No,
DOC-00007,SIN-0003,Denuncia Policial,Sí,Sí,2024-04-05,No,
DOC-00008,SIN-0003,Fotos Daño,Sí,Sí,2024-03-31,No,
DOC-00009,SIN-0004,Denuncia Policial,Sí,Sí,2023-05-22,No,
DOC-00010,SIN-0004,Factura Taller,Sí,Sí,2023-05-15,No,
DOC-00011,SIN-0004,Informe Perito,Sí,Sí,2023-05-23,No,
DOC-00012,SIN-0004,Fotos Daño,Sí,Sí,2023-05-21,No,
DOC-00013,SIN-0005,Copia Matrícula,Sí,Sí,2024-09-15,No,
DOC-00014,SIN-0005,Factura Taller,Sí,Sí,2024-09-25,No,
DOC-00015,SIN-0005,Denuncia Policial,Sí,Sí,2024-09-22,No,
DOC-00016,SIN-0006,Copia Licencia,Sí,Sí,2024-05-14,No,
DOC-00017,SIN-0006,Fotos Daño,Sí,Sí,2024-05-21,No,
DOC-00018,SIN-0006,Factura Taller,Sí,Sí,2024-05-16,No,
DOC-00019,SIN-0007,Denuncia Policial,Sí,Sí,2023-10-18,No,
DOC-00020,SIN-0007,Copia Licencia,Sí,Sí,2023-10-22,No,
DOC-00021,SIN-0007,Informe Perito,Sí,Sí,2023-10-22,No,
DOC-00022,SIN-0007,Factura Taller,Sí,Sí,2023-10-24,No,
DOC-00023,SIN-0008,Factura Taller,Sí,Sí,2023-12-07,No,
DOC-00024,SIN-0008,Fotos Daño,Sí,Sí,2023-12-13,No,
DOC-00025,SIN-0008,Copia Licencia,Sí,Sí,2023-12-11,No,
DOC-00026,SIN-0009,Acta Policial,Sí,Sí,2024-11-12,No,
DOC-00027,SIN-0009,Fotos Daño,Sí,Sí,2024-11-09,No,
DOC-00028,SIN-0009,Informe Técnico,Sí,Sí,2024-11-11,No,
DOC-00029,SIN-0009,Cotización Reparación,Sí,Sí,2024-11-03,No,
DOC-00030,SIN-0010,Fotos Daño,Sí,Sí,2024-07-06,No,
DOC-00031,SIN-0010,Copia Matrícula,Sí,Sí,2024-07-06,No,
DOC-00032,SIN-0010,Factura Taller,Sí,Sí,2024-07-14,No,
DOC-00033,SIN-0010,Denuncia Policial,Sí,Sí,2024-07-17,No,
DOC-00034,SIN-0011,Denuncia Policial,Sí,Sí,2020-06-07,No,
DOC-00035,SIN-0011,Copia Licencia,Sí,Sí,2020-06-11,No,
DOC-00036,SIN-0011,Copia Matrícula,Sí,Sí,2020-06-14,No,
DOC-00037,SIN-0011,Fotos Daño,No,No,,No,Documento no entregado por el asegurado
