id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible_pct,deducible_usd,canal_venta,ciudad,estado_poliza
POL-0001,ASE-0033,Vehículos,2020-01-06,2021-01-05,697.23,38796.87,0.18,6983.44,Agente,Guayaquil,Vigente
POL-0002,ASE-0094,Generales,2022-10-14,2023-10-14,1137.88,34067.66,0.05,1703.38,Agente,Esmeraldas,Suspendida
POL-0003,ASE-0188,Salud,2020-04-11,2021-04-11,898.95,6584.23,0.19,1251.0,Broker,Ibarra,Vigente
POL-0004,ASE-0231,Vehículos,2021-12-01,2022-12-01,2396.34,21400.35,0.12,2568.04,Agente,Cuenca,Vigente
POL-0005,ASE-0055,Vehículos,2024-08-21,2025-08-21,2180.0,10440.5,0.12,1252.86,Agente,Ambato,Vencida
POL-0006,ASE-0046,Generales,2022-10-27,2023-10-27,949.99,10703.43,0.1,1070.34,Digital,Quito,Vigente
POL-0007,ASE-0185,Hogar,2024-12-18,2025-12-18,205.06,41076.99,0.06,2464.62,Digital,Quito,Vencida
POL-0008,ASE-0134,Generales,2023-08-28,2024-08-27,1271.03,38086.2,0.08,3046.9,Broker,Ambato,Vigente
POL-0009,ASE-0177,Hogar,2021-06-20,2022-06-20,440.37,38117.22,0.07,2668.21,Agente,Guayaquil,Cancelada
POL-0010,ASE-0108,Salud,2020-05-28,2021-05-28,1700.94,14737.15,0.19,2800.06,Agente,Cuenca,Vencida
POL-0011,ASE-0204,Vehículos,2024-04-30,2025-04-30,1411.09,19925.66,0.06,1195.54,Agente,Cuenca,Vencida
POL-0012,ASE-0090,Generales,2023-02-25,2024-02-25,1191.32,27451.81,0.06,1647.11,Directo,Quito,Vigente
POL-0013,ASE-0030,Hogar,2023-03-22,2024-03-21,201.03,23615.66,0.08,1889.25,Broker,Manta,Vencida
POL-0014,ASE-0119,Hogar,2024-12-19,2025-12-19,1181.05,41905.02,0.15,6285.75,Agente,Guayaquil,Vencida
POL-0015,ASE-0081,Hogar,2021-01-15,2022-01-15,947.53,25950.95,0.06,1557.06,Bancaseguros,Loja,Vigente
POL-0016,ASE-0093,Hogar,2021-04-10,2022-04-10,1062.19,47774.18,0.12,5732.9,Broker,Quito,Vigente
POL-0017,ASE-0211,Vehículos,2023-03-12,2024-03-11,492.09,10446.57,0.12,1253.59,Broker,Guayaquil,Vencida
POL-0018,ASE-0208,Vehículos,2022-05-31,2023-05-31,1829.02,28745.94,0.05,1437.3,Agente,Guayaquil,Vigente
POL-0019,ASE-0124,Vehículos,2021-06-09,2022-06-09,2142.95,41242.04,0.15,6186.31,Digital,Quito,Vencida
POL-0020,ASE-0225,Salud,2022-10-29,2023-10-29,768.39,19350.06,0.16,3096.01,Broker,Guayaquil,Cancelada
POL-0021,ASE-0179,Salud,2021-08-23,2022-08-23,1268.79,10675.08,0.17,1814.76,Agente,Guayaquil,Vigente
POL-0022,ASE-0134,Vehículos,2022-08-17,2023-08-17,1566.2,21528.17,0.08,1722.25,Broker,Guayaquil,Vigente
