id_vehiculo,id_asegurado,placa,chasis,numero_motor,marca,modelo,anio,color,siniestros_periodo_18m,ciudad_registro
VEH-0001,ASE-0232,LRA-2276,J4V0UDKKBP3SD6WAU,HERXHPYC9C,Hyundai,i10,2021,Amarillo,0,Loja
VEH-0002,ASE-0192,AXB-4025,3M1X21LBV3F2SZX3C,2SKBGB7U9U,Toyota,Yaris,2013,Blanco,0,Cuenca
VEH-0003,ASE-0228,PAE-6525,R8MGZN3JCRR9FKDLK,R0FRR07XRY,Hyundai,Creta,2006,Negro,0,Quito
VEH-0004,ASE-0009,GVA-8631,HYM8BFRNRCENLK8AG,U7D20HXZ9G,Volkswagen,T-Cross,2009,Negro,0,Guayaquil
VEH-0005,ASE-0182,GZH-0086,U6507Y3TEGE3AVN3V,XCL90U24C9,Renault,Logan,2007,Beige,0,Guayaquil
VEH-0006,ASE-0111,AVT-5935,54ULF7H8UKCG8KXXD,YWWFX6M7B5,Hyundai,Santa Fe,2007,Blanco,1,Cuenca
VEH-0007,ASE-0165,GWR-8570,S3ZKCBRSGXL0159EN,VLSJJDKNXJ,Volkswagen,Amarok,2010,Azul,3,Guayaquil
VEH-0008,ASE-0024,GFG-0212,T8HMBT6YSU4R612NP,VGVCT2K9ZD,Chevrolet,Captiva,2008,Verde,3,Guayaquil
VEH-0009,ASE-0012,PRJ-3229,03UE6E7LNX4WTTTVS,ALDPL65XWJ,Toyota,RAV4,2023,Naranja,0,Quito
VEH-0010,ASE-0175,GRR-1713,V0GRPPGTXS410UV9S,N8SUVZ5Z3J,Suzuki,Swift,2020,Plateado,0,Guayaquil
VEH-0011,ASE-0126,PZR-5687,M73KEZN9483KK0MRJ,SGU7ZEXWJZ,Kia,Rio,2021,Plateado,0,Quito
VEH-0012,ASE-0238,GFA-3229,Y6SY1KKB2YH15B7P4,7B43G15KBK,Renault,Sandero,2024,Negro,0,Guayaquil
VEH-0013,ASE-0050,PXH-6394,L1Y0AMKZGXYPRLPD9,S7ANRJLWVJ,Nissan,X-Trail,2016,Plateado,2,Quito
VEH-0014,ASE-0177,AGF-5258,7KXHEF1WPVSUYHJ15,CR0CVCVTVE,Toyota,Corolla,2015,Amarillo,0,Cuenca
VEH-0015,ASE-0132,PKF-9500,VVZLAJAHCP0UB69SK,FEY18N6R7N,Chevrolet,D-MAX,2007,Amarillo,0,Quito
VEH-0016,ASE-0001,GCR-7403,9S0PNHSFG52BYX76H,CWRZ5JBRU1,Nissan,Sentra,2006,Gris,2,Guayaquil
